,Professor,Audio File Name,Transcripts File Name,file size ,Audio_file_length
176,Prof._G._Bhuvaneshwari,"['Transformer_equivalent_circuit_parameter_determination.mp3', 'Transformers-Amp-Turn_Balance_Ideal_and_practical_transformers.mp3', 'Transformer_Equivalent_circuit_and_Reducing_leakage.mp3']","['A_Course_on_Bio-physical_Chemistry.txt', 'Secondary_Structure_of_Proteins-Contd-.txt', 'Hydrophobic_Effect.txt']",3,"[2724.3102040816325, 3238.8963265306124, 3672.6073469387757]"
177,Dr._Pramit_Chowdhary,"['Hydrophobic_Effect.mp3', 'Secondary_Structure_of_Proteins-Contd-.mp3', 'A_Course_on_Bio-physical_Chemistry.mp3']","['Lecture_1_Introduction.txt', 'Lecture_4_Sound_Wave_Propagation_in_Fluid-III.txt', 'Lecture_3_Sound_Wave_Propagation_in_Fluid-II.txt', 'Lecture_2_Sound_Wave_Propagation_in_Fluid-I.txt']",3,"[3329.7502040816325, 3346.442448979592, 3107.2914285714287]"
178,Prof._Sneha_Singh,"['Lecture_1_Introduction.mp3', 'Lecture_3_Sound_Wave_Propagation_in_Fluid-II.mp3', 'Lecture_2_Sound_Wave_Propagation_in_Fluid-I.mp3', 'Lecture_4_Sound_Wave_Propagation_in_Fluid-III.mp3']","['Lecture_05_Operations_Strategy.txt', 'Lecture_03_Operations_Management_Functions_and_Scope.txt', 'Lecture_02_Operations_Management_Objectives.txt', 'Lecture_04_Types_of_Production_Systems.txt']",4,"[1655.6408163265305, 2016.4702040816326, 1952.9926530612245, 2012.4995918367347]"
179,Dr._Inderdeep_Singh,"['Lecture_03_Operations_Management_Functions_and_Scope.mp3', 'Lecture_05_Operations_Strategy.mp3', 'Lecture_04_Types_of_Production_Systems.mp3', 'Lecture_02_Operations_Management_Objectives.mp3']","['Mod-01_Lec-04_Senmon_wa_nan_desu_ka-What_is_your_specialization-.txt', 'Mod-01_Lec-02_Jiko_shoukai-Self_introduction-.txt', 'Mod-01_Lec-03_Dochira_kara_desu_ka-Where_are_you_from-.txt']",4,"[1874.3379591836735, 2005.0808163265306, 2001.7110204081632, 1904.3265306122448]"
180,Mrs.Vatsala_Misra,"['Mod-01_Lec-02_Jiko_shoukai-Self_introduction-.mp3', 'Mod-01_Lec-04_Senmon_wa_nan_desu_ka-What_is_your_specialization-.mp3', 'Mod-01_Lec-03_Dochira_kara_desu_ka-Where_are_you_from-.mp3']","['Mod-12_Lec-05_DC_Model_of_a_Large_MOSFET_Surface_Potential_and_VT_Based_Solutions_of_IDS.txt', 'Mod-12_Lec-02_DC_Model_of_a_Large_MOSFET_Surface_Potential_and_VT_Based_Solutions_of_IDS.txt', 'Mod-12_Lec-06_DC_Model_of_a_Large_MOSFET_Surface_Potential_and_VT_Based_Solutions_of_IDS.txt']",3,"[3219.9314285714286, 3443.591836734694, 3281.8416326530614]"
181,Prof._Shreepad_Karmalkar,"['Mod-12_Lec-02_DC_Model_of_a_Large_MOSFET_Surface_Potential_and_VT_Based_Solutions_of_IDS.mp3', 'Mod-12_Lec-06_DC_Model_of_a_Large_MOSFET_Surface_Potential_and_VT_Based_Solutions_of_IDS.mp3', 'Mod-12_Lec-05_DC_Model_of_a_Large_MOSFET_Surface_Potential_and_VT_Based_Solutions_of_IDS.mp3']","['Lecture-2_Instructonal_Objectives.txt', 'Lecture-3_Eye_and_Vision_I.txt', 'Lecture-4_Eye_and_Vision_II.txt']",3,"[3026.9910204081634, 3708.499591836735, 3201.5673469387757]"
182,Prof._N.K._Kishore,"['Lecture-3_Eye_and_Vision_I.mp3', 'Lecture-4_Eye_and_Vision_II.mp3', 'Lecture-2_Instructonal_Objectives.mp3']","['Lecture_03_Basic_Concepts_Examples-Contd-.txt', 'Lecture_02_Basic_Concepts_Examples-Contd-.txt', 'Lecture_04_Basic_Concepts_Examples-Contd-.txt', 'Lecture_05_Basic_Laws.txt']",3,"[3174.269387755102, 2707.4089795918367, 2933.577142857143]"
183,Prof._Debapriya_Das,"['Lecture_04_Basic_Concepts_Examples-Contd-.mp3', 'Lecture_02_Basic_Concepts_Examples-Contd-.mp3', 'Lecture_03_Basic_Concepts_Examples-Contd-.mp3', 'Lecture_05_Basic_Laws.mp3']","['mod01lec02.txt', 'mod01lec01.txt']",4,"[2052.4408163265307, 2319.621224489796, 1469.6489795918367, 1950.667755102041]"
184,Prof._Uma_Maheswari,"['mod01lec02.mp3', 'mod01lec01.mp3']","['First_Law_of_Thermodynamics.txt', 'Second_Law_of_Thermodynamics-Contd-.txt', 'Introduction-Contd-.txt', 'Second_Law_of_Thermodynamics.txt']",2,"[2837.629387755102, 4980.53224489796]"
185,Prof_gargi_das,"['Introduction-Contd-.mp3', 'Second_Law_of_Thermodynamics.mp3', 'Second_Law_of_Thermodynamics-Contd-.mp3', 'First_Law_of_Thermodynamics.mp3']","['Interior-Architecture_and_Craft_and_Technology_Exploring_Applications.txt', 'Interior-Architecture_Definition_and_Understanding.txt', 'Summary_and_Discourse.txt', 'Interior-Architecture_and_Craft_and_Technology_Establishing_Inter-Relationships.txt', 'Craft_Definition_and_Understanding-Varied_Perspectives_on_Art_and_Craft-.txt']",4,"[1777.8416326530612, 1823.686530612245, 1605.4073469387756, 1843.591836734694]"
186,Prof._Smriti_Saraswat,"['Summary_and_Discourse.mp3', 'Interior-Architecture_Definition_and_Understanding.mp3', 'Interior-Architecture_and_Craft_and_Technology_Exploring_Applications.mp3', 'Craft_Definition_and_Understanding-Varied_Perspectives_on_Art_and_Craft-.mp3', 'Interior-Architecture_and_Craft_and_Technology_Establishing_Inter-Relationships.mp3']","['Mod-01_Lec-04_Interaction_of_Matter_with_Radiation.txt', 'Mod-01_Lec-03_Physical_Properties_of_Electromagnetic_Radiation.txt', 'Mod-01_Lec-02_Atomic_Structure.txt']",5,"[1703.4710204081632, 1773.6620408163265, 1412.2318367346938, 1623.7191836734694, 1532.8914285714286]"
187,Dr._J.R._Mudakavi,"['Mod-01_Lec-02_Atomic_Structure.mp3', 'Mod-01_Lec-03_Physical_Properties_of_Electromagnetic_Radiation.mp3', 'Mod-01_Lec-04_Interaction_of_Matter_with_Radiation.mp3']","['noc19-mm04_Lecture_03-Atmospheric_Effects_on_Solar_Radiation.txt', 'noc19-mm04_Lecture_01-Introduction_to_Solar_Energy.txt', 'noc19-mm04_Lecture_02-Solar_Radiation.txt', 'noc19-mm04_Lecture_04-Effects_of_Location_on_Time.txt']",3,"[3286.8571428571427, 2756.101224489796, 3265.5412244897957]"
188,Prof_Ashish_Garg,"['noc19-mm04_Lecture_01-Introduction_to_Solar_Energy.mp3', 'noc19-mm04_Lecture_03-Atmospheric_Effects_on_Solar_Radiation.mp3', 'noc19-mm04_Lecture_04-Effects_of_Location_on_Time.mp3', 'noc19-mm04_Lecture_02-Solar_Radiation.mp3']","['mod01lec02.txt', 'mod01lec04.txt', 'mod01lec05.txt', 'mod01lec01.txt', 'mod01lec03.txt']",4,"[2184.280816326531, 1816.0326530612244, 1676.8, 1754.3314285714287]"
189,Prof._Mira_Mitra,"['mod01lec02.mp3', 'mod01lec04.mp3', 'mod01lec03.mp3', 'mod01lec05.mp3', 'mod01lec01.mp3']","['Mod-01_Lec-04_Test_Case_Designa_and_procedures.txt', 'Mod-01_Lec-02_Embedded_Systems_BAsics_Session_1_Contd.txt', 'Mod-01_Lec-03_Prerequistics_for_Embedded_Systems_Testing.txt']",5,"[1554.1289795918367, 1798.7918367346938, 1821.3877551020407, 1668.5191836734693, 1836.7477551020409]"
190,Madhukeshwara_H_M,"['Mod-01_Lec-03_Prerequistics_for_Embedded_Systems_Testing.mp3', 'Mod-01_Lec-02_Embedded_Systems_BAsics_Session_1_Contd.mp3', 'Mod-01_Lec-04_Test_Case_Designa_and_procedures.mp3']","['Utilitarianism.txt', 'Consequentialism_Rule_Act.txt', 'Consequentialism_Introduction.txt', 'Hedonism.txt', 'Introduction_to_Ethics_An_assessment_of_Ethical_relativism.txt']",3,"[3672.32, 2823.941224489796, 5460.688979591837]"
191,Prof._Vineet_Sahu,"['Utilitarianism.mp3', 'Introduction_to_Ethics_An_assessment_of_Ethical_relativism.mp3', 'Consequentialism_Introduction.mp3', 'Consequentialism_Rule_Act.mp3', 'Hedonism.mp3']","['Mod-01_Lec-04_Properties_of_Divided_Difference.txt', 'Mod-01_Lec-03_Interpolating_Polynomials.txt', 'Mod-01_Lec-02_Polynomial_Approximation.txt']",5,"[3652.5714285714284, 1005.4791836734694, 2017.7502040816325, 998.7918367346939, 1748.166530612245]"
192,Prof._Rekha_P._Kulkarni,"['Mod-01_Lec-02_Polynomial_Approximation.mp3', 'Mod-01_Lec-04_Properties_of_Divided_Difference.mp3', 'Mod-01_Lec-03_Interpolating_Polynomials.mp3']","['Mod-01_Lec-05_Advance_Analytical_Course.txt', 'Mod-01_Lec-02_Advance_Analytical_Course.txt', 'Mod-01_Lec-03_Advance_Analytical_Course.txt', 'Mod-01_Lec-04_Advance_Analytical_Course.txt']",3,"[2864.509387755102, 2950.922448979592, 2926.6808163265305]"
193,Prof._Padma_Vankar,"['Mod-01_Lec-03_Advance_Analytical_Course.mp3', 'Mod-01_Lec-04_Advance_Analytical_Course.mp3', 'Mod-01_Lec-02_Advance_Analytical_Course.mp3', 'Mod-01_Lec-05_Advance_Analytical_Course.mp3']","['Mod-01_Lec-03_The_Langevin_model-Part_2-.txt', 'Mod-01_Lec-04_The_Langevin_model-Part_3-.txt', 'Mod-01_Lec-02_The_Langevin_model-Part_1-.txt']",4,"[2416.509387755102, 2405.642448979592, 1648.4571428571428, 2274.951836734694]"
194,V._Balakrishnan,"['Mod-01_Lec-02_The_Langevin_model-Part_1-.mp3', 'Mod-01_Lec-03_The_Langevin_model-Part_2-.mp3', 'Mod-01_Lec-04_The_Langevin_model-Part_3-.mp3']","['Lecture_03_Sustainability_and_Sustainable_Development.txt', 'Lecture_04_Historic_Origins_of_Sustainability.txt', 'Lecture_02_Buildings_Needs_and_Sustainability.txt', 'Lecture_01_Introduction_to_Sustainability.txt']",3,"[3094.831020408163, 3029.159183673469, 3382.0473469387757]"
195,Prof._Avlokita_Agrawal,"['Lecture_03_Sustainability_and_Sustainable_Development.mp3', 'Lecture_04_Historic_Origins_of_Sustainability.mp3', 'Lecture_01_Introduction_to_Sustainability.mp3', 'Lecture_02_Buildings_Needs_and_Sustainability.mp3']","['Lecture_03_Limits_for_multivariable_functions-II.txt', 'Lecture_04_Continuity_of_multivariable_functions.txt', 'Lecture_02_Limits_for_multivariable_functions-I.txt', 'Lecture_05_Partial_Derivatives-I.txt']",4,"[2268.081632653061, 2068.8718367346937, 1652.6889795918366, 2167.5363265306123]"
196,Prof_S.K_Gupta_and_Dr._Sanjeev_Kumar,"['Lecture_05_Partial_Derivatives-I.mp3', 'Lecture_04_Continuity_of_multivariable_functions.mp3', 'Lecture_02_Limits_for_multivariable_functions-I.mp3', 'Lecture_03_Limits_for_multivariable_functions-II.mp3']","['Lecture-4_Asymptotic_Notation.txt', 'Lecture-3_Algorithms_Analysis_Framework-II.txt', 'Lecture-2_Framework_for_Algorithms_Analysis.txt']",4,"[2366.9812244897957, 1114.4097959183673, 1563.9510204081632, 2121.430204081633]"
197,Prof.Abhiram_Ranade,"['Lecture-3_Algorithms_Analysis_Framework-II.mp3', 'Lecture-4_Asymptotic_Notation.mp3', 'Lecture-2_Framework_for_Algorithms_Analysis.mp3']","['Tutorial_I.txt', 'Tutorial_II.txt', 'Lecture_35_Tutorial_VI.txt', 'Lecture_22_Tutorial_IV.txt', 'Lecture_17_Tutorial_III.txt']",3,"[3140.989387755102, 3154.54693877551, 3331.6310204081633]"
198,Anirban,"['Lecture_35_Tutorial_VI.mp3', 'Lecture_22_Tutorial_IV.mp3', 'Tutorial_II.mp3', 'Lecture_17_Tutorial_III.mp3', 'Tutorial_I.mp3']","['Interplay_of_Languages_and_Forms_of_Writing.txt', 'In_Conversation_with_Richard_Schechner.txt', 'Multilingual_Plurality_Our_Environment.txt']",5,"[2422.3608163265308, 2350.288979591837, 1463.9804081632653, 2230.6220408163267, 2486.6220408163267]"
199,Prof._Neelima_Talwar,"['Multilingual_Plurality_Our_Environment.mp3', 'In_Conversation_with_Richard_Schechner.mp3', 'Interplay_of_Languages_and_Forms_of_Writing.mp3']",,3,"[1544.96, 1852.029387755102, 2674.390204081633]"
