,Professor,Audio File Name,Transcripts File Name,file size ,Audio_file_length
95,Prof._P.S._Sastry,"['Mod-02_Lec-03_The_Bayes_Classifier_for_minimizing_Risk.mp3', 'Mod-01_Lec-02_Overview_of_Pattern_Classifiers.mp3', 'Mod-02_Lec-04_Estimating_Bayes_Error_Minimax_and_Neymann-Pearson_classifiers.mp3']","['Mod-02_Lec-04_Estimating_Bayes_Error_Minimax_and_Neymann-Pearson_classifiers.txt', 'Mod-02_Lec-03_The_Bayes_Classifier_for_minimizing_Risk.txt', 'Mod-01_Lec-02_Overview_of_Pattern_Classifiers.txt']",3,"[3350.4914285714285, 3288.3461224489797, 3385.8873469387754]"
96,Dr.Padma_Vanker,"['Mod-01_Lec-03_Lecture-03_Natural_Dyes.mp3', 'Mod-01_Lec-02_Lecture-02_Natural_Dyes.mp3', 'Mod-01_Lec-05_Lecture-05_Natural_Dyes.mp3', 'Mod-01_Lec-04_Lecture-04_Natural_Dyes.mp3']","['Mod-01_Lec-05_Lecture-05_Natural_Dyes.txt', 'Mod-01_Lec-02_Lecture-02_Natural_Dyes.txt', 'Mod-01_Lec-04_Lecture-04_Natural_Dyes.txt', 'Mod-01_Lec-03_Lecture-03_Natural_Dyes.txt']",4,"[2184.3591836734695, 2374.008163265306, 2283.5461224489795, 2281.4563265306124]"
97,Dr._Varadraj_Bapat,"['Mod-02_Lec-03_Financial_Statements.mp3', 'Mod-01_Lec-02_Double_Entry_System_Forms_of_Organisation.mp3', 'Mod-02_Lec-04_Balance_Sheet.mp3']","['Mod-01_Lec-02_Double_Entry_System_Forms_of_Organisation.txt', 'Mod-02_Lec-03_Financial_Statements.txt', 'Mod-02_Lec-04_Balance_Sheet.txt']",3,"[3150.132244897959, 1493.5510204081634, 2949.642448979592]"
98,Prof._Pushparaj_mani_pathak,"['Lecture_1_Introduction.mp3', 'Lecture_4_Semiconductor_Electronics.mp3', 'Lecture_3_Electric_Circuits_and_Components.mp3', 'Lecture_2_Mechatronics_System_Examples.mp3']","['Lecture_1_Introduction.txt', 'Lecture_3_Electric_Circuits_and_Components.txt', 'Lecture_4_Semiconductor_Electronics.txt', 'Lecture_2_Mechatronics_System_Examples.txt']",4,"[2321.92, 2157.609795918367, 2157.4008163265307, 1667.5265306122449]"
99,Prof._Divya_A,"['The_Nineteenth_Century_Novel-Continued_2-.mp3', 'The_Nineteenth_Century_Novel-Continued_1-.mp3', 'Jane_Austens_Persuasion.mp3', 'Austens_Persuasion_Chapter_7-12-Continued-.mp3']","['Austens_Persuasion_Chapter_7-12-Continued-.txt', 'The_Nineteenth_Century_Novel-Continued_1-.txt', 'Jane_Austens_Persuasion.txt', 'The_Nineteenth_Century_Novel-Continued_2-.txt']",4,"[1814.4914285714285, 1574.5567346938776, 1373.178775510204, 2605.871020408163]"
100,Dr._Priyanka_Ghosh,"['Lecture_2-Analysis_of_Mechanical_System.mp3', 'Lecture_4-FBD_with_examples_on_modelling_of_typical_supports_and_joints.mp3', 'Lecture_5-Support_Conditions.mp3', 'Lecture_06-FBD_of_Frame_Structures.mp3', 'Lecture_3-Conditions_of_equilibrium_in_2D_and_3D.mp3']","['Lecture_4-FBD_with_examples_on_modelling_of_typical_supports_and_joints.txt', 'Lecture_3-Conditions_of_equilibrium_in_2D_and_3D.txt', 'Lecture_5-Support_Conditions.txt', 'Lecture_06-FBD_of_Frame_Structures.txt', 'Lecture_2-Analysis_of_Mechanical_System.txt']",5,"[1850.5926530612244, 1476.5714285714287, 1850.2791836734693, 1635.4481632653062, 1765.4595918367347]"
101,prof._shreesh_chaudhary,"['Feedback_on_Presentations_I.mp3', 'Stage_Manners.mp3', 'Student_Presentations_I.mp3']","['Student_Presentations_I.txt', 'Feedback_on_Presentations_I.txt', 'Stage_Manners.txt']",3,"[2763.2326530612245, 2943.320816326531, 2378.8669387755103]"
102,Prof._Sharmistha_Banerjee,"['Lec_1_Sustainability_and_Sustainable_Development-Part_A.mp3', 'Lec_3_Sustainability_and_Sustainable_Development-Part_C.mp3', 'Lec_2_Sustainability_and_Sustainable_Development-Part_B.mp3']","['Lec_3_Sustainability_and_Sustainable_Development-Part_C.txt', 'Lec_1_Sustainability_and_Sustainable_Development-Part_A.txt', 'Lec_2_Sustainability_and_Sustainable_Development-Part_B.txt']",3,"[2482.5991836734693, 3660.460408163265, 2426.357551020408]"
103,Prof._Sudeshna_Sarkar,"['Introduction.mp3', 'Different_Types_of_Learning.mp3', 'Evaluation_and_Cross-Validation.mp3', 'Hypothesis_Space_and_Inductive_Bias.mp3', 'Tutorial_I.mp3']","['Tutorial_I.txt', 'Evaluation_and_Cross-Validation.txt', 'Different_Types_of_Learning.txt', 'Introduction.txt', 'Hypothesis_Space_and_Inductive_Bias.txt']",5,"[1673.7697959183674, 1444.2318367346938, 1282.821224489796, 1954.7167346938775, 2486.7004081632654]"
104,Prof._BhaveshKumar_Bhajia,"['Lecture_1_Fundamentals_of_Protective_Relaying-I.mp3', 'Lecture_3_Fundamentals_of_Protective_Relaying-III.mp3', 'Lecture_2_Fundamentals_of_Protective_Relaying-II.mp3', 'Lecture_4_Fundamentals_of_Protective_Relaying-IV.mp3']","['Lecture_4_Fundamentals_of_Protective_Relaying-IV.txt', 'Lecture_2_Fundamentals_of_Protective_Relaying-II.txt', 'Lecture_3_Fundamentals_of_Protective_Relaying-III.txt', 'Lecture_1_Fundamentals_of_Protective_Relaying-I.txt']",4,"[1976.6595918367348, 1954.5861224489795, 2019.970612244898, 1870.2889795918368]"
105,Prof._Jenia_Mukherjee,"['Lecture_03_The_Nine_Planetary_Boundaries_Framework.mp3', 'Lecture_02_The_Anthropocene.mp3', 'Lecture_04_The_Capitalocene.mp3', 'Lecture_05_The_Urbanocene.mp3']","['Lecture_02_The_Anthropocene.txt', 'Lecture_04_The_Capitalocene.txt', 'Lecture_05_The_Urbanocene.txt', 'Lecture_03_The_Nine_Planetary_Boundaries_Framework.txt']",4,"[1927.7583673469387, 1735.4187755102041, 2058.24, 1679.2293877551022]"
106,Prof._Chhanda_Chakraborti,"['mod01lec02.mp3', 'mod01lec04.mp3', 'mod01lec03.mp3', 'mod01lec01.mp3']","['mod01lec02.txt', 'mod01lec04.txt', 'mod01lec01.txt', 'mod01lec03.txt']",4,"[2402.429387755102, 1959.4710204081632, 1758.1975510204081, 2006.2563265306123]"
107,unknown2,"['HG_WELLS_THE_RED_ROOM-Victorian_Gothic.mp3', 'ARTHUR_CONAN_DOYLE-The_Red-Headed_League-III.mp3', 'ARTHUR_CONAN_DOYLE_The_Red-Headed_League-Summary_and_Interview_of_the_Author.mp3', 'HG_WELLS_THE_RED_ROOM-Close_Reading_And_Its_Implications.mp3']","['HG_WELLS_THE_RED_ROOM-Victorian_Gothic.txt', 'ARTHUR_CONAN_DOYLE_The_Red-Headed_League-Summary_and_Interview_of_the_Author.txt', 'HG_WELLS_THE_RED_ROOM-Close_Reading_And_Its_Implications.txt', 'ARTHUR_CONAN_DOYLE-The_Red-Headed_League-III.txt']",4,"[2270.1714285714284, 2605.4008163265307, 840.5420408163266, 3079.7322448979594]"
